id,car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
1,maruti swift,2015,petrol,8063,386399,noida,18715,hatchback,manual,lxi opt,TRUE,delhi,delhi,TRUE,dl6c,inperson_sale,maruti,swift,in_stock,2,397677,404177,great,2021,TRUE,8975,57960,FALSE,FALSE
2,maruti alto 800,2016,petrol,23104,265499,noida,2676,hatchback,manual,lxi,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,maruti,alto 800,in_stock,1,272935,354313,great,2021,TRUE,6167,39825,FALSE,FALSE
3,hyundai grand i10,2017,petrol,23402,477699,noida,609,hatchback,manual,sports 1.2 vtvt,TRUE,agra,uttar pradesh,TRUE,up80,inperson_sale,hyundai,grand i10,in_stock,1,469605,,great,2021,TRUE,11096,71655,FALSE,FALSE
4,maruti swift,2013,diesel,39124,307999,noida,6511,hatchback,manual,vdi,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,maruti,swift,in_stock,1,294262,374326,great,2021,TRUE,7154,46200,FALSE,FALSE
5,hyundai grand i10,2015,petrol,22116,361499,noida,3225,hatchback,manual,magna 1.2 vtvt,FALSE,new delhi,delhi,TRUE,dl12,inperson_sale,hyundai,grand i10,in_stock,1,360716,367216,great,2021,TRUE,8397,54225,FALSE,FALSE
6,maruti alto k10,2018,petrol,23534,335299,noida,1055,hatchback,,vxi (o) amt,TRUE,delhi,delhi,TRUE,dl2c,inperson_sale,maruti,alto k10,in_stock,1,343212,439056,great,2021,TRUE,7788,50295,FALSE,FALSE
7,maruti ritz,2012,diesel,41213,281999,noida,909,hatchback,manual,vdi,TRUE,delhi,delhi,TRUE,dl12,inperson_sale,maruti,ritz,in_stock,1,201200,,great,2020,TRUE,6550,42300,FALSE,FALSE
8,hyundai i20,2012,petrol,38328,321499,noida,2760,hatchback,manual,asta 1.2,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,hyundai,i20,in_stock,3,319200,410764,great,2021,TRUE,7468,48225,FALSE,FALSE
9,hyundai elite i20,2014,diesel,56402,456199,noida,2475,hatchback,manual,magna 1.4 crdi,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,hyundai,elite i20,in_stock,1,452023,566123,great,2021,TRUE,10596,68430,FALSE,FALSE
10,renault kwid,2018,petrol,32703,281299,noida,2497,hatchback,manual,rxl,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,renault,kwid,in_transit,1,264597,344127,great,2021,TRUE,6534,42195,FALSE,FALSE
11,maruti alto 800,2014,petrol,53180,206899,noida,1446,hatchback,manual,lxi,TRUE,delhi,delhi,TRUE,dl9c,inperson_sale,maruti,alto 800,in_stock,1,200605,207105,great,2021,TRUE,4806,31035,FALSE,FALSE
12,hyundai i10,2008,petrol,44219,194699,noida,1798,hatchback,manual,sportz 1.2,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,hyundai,i10,in_stock,1,153600,,good,2021,TRUE,4522,29205,FALSE,FALSE
13,hyundai i20,2012,diesel,55764,287999,noida,3115,hatchback,manual,sportz 1.4 crdi,TRUE,new delhi,delhi,TRUE,dl7c,inperson_sale,hyundai,i20,in_stock,2,275325,356231,great,2020,TRUE,6689,43200,FALSE,FALSE
14,honda brio,2012,petrol,58581,235699,noida,1752,hatchback,manual,1.2 v mt i vtec,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,honda,brio,in_stock,1,234607,307559,great,2021,TRUE,5475,35355,FALSE,FALSE
15,hyundai i10,2011,petrol,49761,207499,noida,2226,hatchback,manual,magna 1.2 kappa2,TRUE,delhi,delhi,TRUE,dl10,inperson_sale,hyundai,i10,in_stock,1,188721,,good,2021,TRUE,4820,31125,FALSE,FALSE
16,honda city,2010,petrol,63808,304199,noida,2493,sedan,manual,s mt petrol,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,honda,city,in_stock,1,281400,364648,great,2020,TRUE,7066,45630,FALSE,FALSE
17,hyundai i10,2011,petrol,70126,217599,noida,2450,hatchback,manual,sportz 1.2 kappa2,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,hyundai,i10,in_stock,1,216800,284836,great,2021,TRUE,5054,32640,FALSE,FALSE
18,hyundai eon,2013,petrol,49817,216899,noida,1498,hatchback,manual,d lite plus,TRUE,panchkula,haryana,TRUE,hr03,inperson_sale,hyundai,eon,in_stock,1,201155,,great,2021,TRUE,5038,32535,FALSE,FALSE
19,maruti swift,2015,diesel,62806,396499,noida,2965,hatchback,manual,vdi abs,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,maruti,swift,in_stock,1,409866,515526,great,2021,TRUE,9210,59475,FALSE,FALSE
20,honda brio,2015,petrol,58396,347399,noida,620,hatchback,manual,1.2 s mt i vtec,TRUE,delhi,delhi,TRUE,dl13,inperson_sale,honda,brio,in_stock,2,327940,405581,great,2021,TRUE,8069,52110,FALSE,FALSE
21,hyundai eon,2014,petrol,59559,209799,noida,2216,hatchback,manual,era plus,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,hyundai,eon,in_stock,1,205754,272348,great,2021,TRUE,4873,31470,FALSE,FALSE
22,hyundai verna,2012,diesel,68355,398799,noida,1960,sedan,manual,fluidic 1.6 sx crdi,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,hyundai,verna,in_stock,1,367000,467580,great,2020,TRUE,9263,59820,FALSE,FALSE
23,maruti ritz,2010,petrol,82078,207099,noida,881,hatchback,manual,vxi bs iv,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,maruti,ritz,in_stock,1,193591,257586,great,2021,TRUE,4810,31065,FALSE,FALSE
24,maruti swift,2013,diesel,66350,318399,noida,779,hatchback,manual,vdi,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,maruti,swift,in_transit,1,307404,,great,2021,TRUE,7396,47760,FALSE,FALSE
25,maruti alto,2010,petrol,56231,180999,noida,1161,hatchback,manual,lxi,TRUE,meerut,uttar pradesh,TRUE,up15,inperson_sale,maruti,alto,in_stock,2,154164,,good,2021,TRUE,4204,27150,FALSE,FALSE
26,hyundai i20,2010,petrol,72985,227699,noida,1505,hatchback,manual,magna o 1.2,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,hyundai,i20,in_stock,1,212540,,great,2021,TRUE,5289,34155,FALSE,FALSE
27,hyundai santro xing,2009,petrol,79244,164899,noida,2030,hatchback,manual,gls,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,hyundai,santro xing,in_stock,1,129230,177150,good,2021,TRUE,3830,24735,FALSE,FALSE
28,maruti swift,2014,petrol,71876,389699,noida,1151,hatchback,manual,vxi,TRUE,delhi,delhi,TRUE,dl2c,inperson_sale,maruti,swift,in_stock,1,377352,480698,great,2021,TRUE,9052,58455,FALSE,FALSE
29,maruti swift dzire,2011,petrol,90479,224299,noida,2775,sedan,manual,vxi 1.2 bs iv,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,maruti,swift dzire,in_stock,1,214978,282096,great,2021,TRUE,5210,33645,FALSE,FALSE
30,ford ecosport,2013,diesel,66940,397199,noida,3986,suv,manual,1.5 trend tdci,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,ford,ecosport,in_stock,1,383822,472084,great,2020,TRUE,9226,59580,FALSE,FALSE
31,maruti swift dzire,2013,diesel,80394,332499,noida,1491,sedan,manual,vdi bs iv,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,maruti,swift dzire,in_stock,1,317758,408992,great,2021,TRUE,7723,49875,FALSE,FALSE
32,maruti swift dzire,2012,diesel,77954,306899,noida,748,sedan,manual,vdi bs iv,TRUE,new delhi,delhi,TRUE,dl3c,inperson_sale,maruti,swift dzire,in_stock,2,297766,369669,great,2020,TRUE,7128,46035,FALSE,FALSE
33,nissan sunny,2012,petrol,82364,287099,noida,1537,sedan,manual,xl petrol,TRUE,delhi,delhi,TRUE,dl11,inperson_sale,nissan,sunny,in_stock,1,255552,332102,great,2021,TRUE,6669,43065,FALSE,FALSE
